GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,46,147,9,11,13,42,8,16,1,13
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,353,522,59,47,97,149,53,29,13,16
JFreeChart,org.jfree.chart.plot,PolarPlot,1234,1103,180,104,321,302,163,77,57,41
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,12,49,4,6,5,15,5,6,1,5
JFreeChart,org.jfree.chart.plot,DialShape,24,48,8,4,9,14,7,5,1,5
JFreeChart,org.jfree.chart.plot,Plot,373,772,86,90,111,246,83,71,19,47
JFreeChart,org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1197,802,118,80,254,200,127,51,50,28
JFreeChart,org.jfree.chart.plot,RingPlot,422,262,45,25,111,90,37,28,14,16
JFreeChart,org.jfree.chart.plot,ContourPlotUtilities,13,0,0,0,4,0,2,0,2,0
JFreeChart,org.jfree.chart.plot,PiePlot,1052,2867,129,227,247,779,141,183,41,105
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7
JFreeChart,org.jfree.chart.plot,PlotUtilities,26,0,6,0,7,0,5,0,2,0
JFreeChart,org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,45,10,19,4,12
JFreeChart,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2
JFreeChart,org.jfree.chart.plot,FastScatterPlot,213,805,37,65,70,218,49,52,20,30
JFreeChart,org.jfree.chart.plot,CompassPlot,824,376,69,36,161,107,66,26,17,18
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,147,5,41,0,18
JFreeChart,org.jfree.chart.plot,CategoryMarker,6,93,3,7,3,27,3,10,0,8
JFreeChart,org.jfree.chart.plot,Crosshair,56,590,1,33,20,159,18,39,17,23
JFreeChart,org.jfree.chart.plot,RainbowPalette,0,3141,0,0,0,14,0,2,0,2
JFreeChart,org.jfree.chart.plot,JThermometer,276,0,18,0,80,0,35,0,26,0
JFreeChart,org.jfree.chart.plot,MeterPlot,179,1347,49,93,43,346,62,65,18,38
JFreeChart,org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,32,4,13,2,9
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5
JFreeChart,org.jfree.chart.plot,GreyPalette,0,73,0,2,0,18,0,3,0,2
JFreeChart,org.jfree.chart.plot,CombinedRangeXYPlot,352,508,59,43,95,142,50,29,12,16
JFreeChart,org.jfree.chart.plot,CombinedRangeCategoryPlot,200,513,41,45,53,145,38,25,6,14
